Column name,Description,Units,Missing Data Identifier
BATS_id,Sample identification; identifies cruise and cast,unitless,
cruise,BATS Cruise number,unitless,
cast,Cast Number,unitless,
year,year,,
month,month of year,,
day,day of month,,
hour,hour of day,,
doy,year day,day,
lat,Latitude of CTD deployment,decimal degrees,
lon,Longitude of CTD deployment,decimal degrees,
MLD_dens125,"Mixed layer depth defined by surface density + 0.125 kg/m^3 (Suga, T., K. Motoki, Y. Aoki, and A. M. Macdonald (2004), The North Pacific climatology of winter mixed layer and mode waters, J. Phys. Oceanogr., 34, 3 – 22,10.1175/1520-0485(2004)034<0003:TNPCOW>2.0.CO;2)",meters,-999
MLD_bvfrq,"Depth of ""active mixing"" defined by buoyancy frequency (Morison, F., E. Harvey, G. Franzè and S. Menden-Deuer (2019). Storm-Induced Predator-Prey Decoupling Promotes Springtime Accumulation of North Atlantic Phytoplankton. Frontiers in Marine Science Volume 6 - 2019. DOI: 10.3389/fmars.2019.00608) and (Graff, J. R. and M. J. Behrenfeld (2018). Photoacclimation Responses in Subarctic Atlantic Phytoplankton Following a Natural Mixing-Restratification Event. Frontiers in Marine Science Volume 5 - 2018. DOI: 10.3389/fmars.2018.00209)",meters,-999
MLD_densT2,"MLD from Thermal Expansion Coeff, and dT=0.2 deg C (Sprintall, J., and M. Tomczak (1992), Evidence of the barrier layer in the surface layer of the tropics, J. Geophys. Res., 97, 7305– 7316,10.1029/92JC00407)",meters,-999
DCM,Depth of chlorophyll maximum (from CTD fluorometer),meters,NaN
Season,"Season designation (1 = mixed, 2  = spring, 3 = stratified, 4 = fall)",defined based on description in Curry et al. (2026),
Sunrise,time of sunrise computed from geographic position and date,HHMM,
Sunset,time of sunset computed from geographic position and date,HHMM,
par0,Surface PAR value,microeinsteins per meter squared per second (uE/m2/s),NaN
z_par_1pcnt,Depth of 1% light level,meters,NaN
z_par_halfpcnt,Depth of 0.5% light level,meters,NaN
z_par_tenthpcnt,Depth of 0.1% light level,meters,NaN
pr,Pressure (dbar),decibars (dbar),
de,Sample depth,meters,
te,Temperature (ITS-90),degrees Celsius,
co,Conductivity,S/m,-999
sa,Salinity (psu),PSU,
o2,Dissolved Oxygen,micromole per kilogram (umol/kg),NaN
bac,Beam Attenuation Coefficient,reciprocal meters (1/m),NaN
fluor,Fluorescence,relative fluorescence units (RFU),
fluor_filt,fluorescence filtered (applies a 3rd order butterworth filter to the fluorometer profile),relative fluorescence units (RFU),
par,Photosynthetically Active Radiation (PAR),microeinsteins per meter squared per second (uE/m2/s),-999
par_est,Photosynthetically Active Radiation (PAR): fitted exponential profile,microeinsteins per meter squared per second (uE/m2/s),NaN
th,potential temperature as per UNESCO 1983 report,degree C (ITS-90),
sig0,Potential denisty relative to the reference pressure,kg/m^3,
rho,density of seawater ,kg/m^3,
bvfrq,Brunt-Vaisala Frequency squared (N^2),s^-2,NaN
vertZone,Vertical Zone designation (see description in Curry et al. 2026),unitless,NaN
